Name,Number
"['Xingqiu', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun']",125
"['Kamisato Ayaka', 'Kaedehara Kazuha', 'Sangonomiya Kokomi', 'Shenhe', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",85
"['Xingqiu', 'Sangonomiya Kokomi', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",59
"['Kamisato Ayaka', 'Kaedehara Kazuha', 'Sangonomiya Kokomi', 'Shenhe', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",58
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",56
"['Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun', 'Kujou Sara']",53
"['Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan', 'Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha']",50
"['Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun']",50
"['Kamisato Ayaka', 'Kaedehara Kazuha', 'Sangonomiya Kokomi', 'Shenhe', 'Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan']",48
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha']",33
"['Sangonomiya Kokomi', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",31
"['Xingqiu', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha']",30
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun']",30
"['Zhongli', 'Mona', 'Hu Tao', 'Yelan', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",29
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Yelan']",27
"['Xingqiu', 'Sangonomiya Kokomi', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun']",25
"['Xingqiu', 'Kaedehara Kazuha', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",22
"['Zhongli', 'Mona', 'Kaedehara Kazuha', 'Yelan', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",21
"['Traveler', 'Sangonomiya Kokomi', 'Nilou', 'Nahida', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",20
"['Traveler', 'Sangonomiya Kokomi', 'Nilou', 'Nahida', 'Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan']",19
"['Zhongli', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",18
"['Xingqiu', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun', 'Kujou Sara']",17
"['Xingqiu', 'Zhongli', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",15
"['Yelan', 'Nilou', 'Nahida', 'baizhu', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",15
"['Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha', 'Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan']",13
"['barbara', 'Xingqiu', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",13
"['Kamisato Ayaka', 'Kaedehara Kazuha', 'Sangonomiya Kokomi', 'Shenhe', 'Beidou', 'Xingqiu', 'Kuki Shinobu', 'Nahida']",12
"['Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun', 'Nahida']",12
"['Traveler', 'Sangonomiya Kokomi', 'Nilou', 'Nahida', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",12
"['Raiden Shogun', 'Sangonomiya Kokomi', 'Yelan', 'Nahida', 'Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha']",11
"['Kamisato Ayaka', 'Kaedehara Kazuha', 'Sangonomiya Kokomi', 'Shenhe', 'Zhongli', 'Yae Miko', 'Nahida', 'Alhaitham']",11
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun', 'Yelan']",11
"['Bennett', 'Kaedehara Kazuha', 'Raiden Shogun', 'Kujou Sara', 'Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan']",11
"['Raiden Shogun', 'Sangonomiya Kokomi', 'Yelan', 'Nahida', 'Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha']",11
"['Sangonomiya Kokomi', 'Nilou', 'Nahida', 'baizhu', 'Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan']",10
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Zhongli', 'Bennett', 'Kaedehara Kazuha', 'Lyney']",10
"['Yelan', 'Nilou', 'Nahida', 'baizhu', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun']",10
"['Zhongli', 'Yelan', 'Wanderer', 'Faruzan', 'Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha']",10
"['Sangonomiya Kokomi', 'Nilou', 'Nahida', 'Yaoyao', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",10
"['Zhongli', 'Yelan', 'Wanderer', 'Faruzan', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",10
"['Kamisato Ayaka', 'Diona', 'Mona', 'Kaedehara Kazuha', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",9
"['Xingqiu', 'Sangonomiya Kokomi', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Yelan']",9
"['Xiangling', 'Bennett', 'Tartaglia', 'Kaedehara Kazuha', 'Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham']",9
"['Sangonomiya Kokomi', 'Yelan', 'Nilou', 'Nahida', 'Xiangling', 'Xingqiu', 'Bennett', 'Raiden Shogun']",9
"['Xingqiu', 'Kuki Shinobu', 'Nahida', 'Alhaitham', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Kamisato Ayato']",9
"['Raiden Shogun', 'Sangonomiya Kokomi', 'Yelan', 'Nahida', 'Xiangling', 'Xingqiu', 'Bennett', 'Kaedehara Kazuha']",9
"['Sangonomiya Kokomi', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Kaedehara Kazuha', 'Raiden Shogun']",8
"['Sangonomiya Kokomi', 'Nilou', 'Nahida', 'baizhu', 'Xingqiu', 'Zhongli', 'Hu Tao', 'Yelan']",8
"['Xingqiu', 'Yelan', 'Kuki Shinobu', 'Nahida', 'Xiangling', 'Bennett', 'Hu Tao', 'Kaedehara Kazuha']",8
"['Xiangling', 'Bennett', 'Raiden Shogun', 'Yelan', 'Xingqiu', 'Zhongli', 'Kuki Shinobu', 'Nahida']",8
