Name,Number
"['kokomi', 'yelan', 'shinobu', 'nahida', 'xiangling', 'xingqiu', 'bennett', 'shougun']",31
"['xingqiu', 'yelan', 'shinobu', 'nahida', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",30
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'kazuha', 'shougun']",30
"['zhongli', 'mona', 'hutao', 'yelan', 'xiangling', 'xingqiu', 'bennett', 'shougun']",29
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'kazuha', 'yelan']",27
"['xingqiu', 'kokomi', 'shinobu', 'nahida', 'xiangling', 'bennett', 'kazuha', 'shougun']",25
"['xingqiu', 'kazuha', 'shinobu', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",22
"['zhongli', 'mona', 'kazuha', 'yelan', 'xiangling', 'xingqiu', 'bennett', 'shougun']",21
"['traveler_girl', 'kokomi', 'nilou', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",20
"['traveler_girl', 'kokomi', 'nilou', 'nahida', 'xingqiu', 'zhongli', 'hutao', 'yelan']",19
