num_cnt,draw_cnt
1,7
1,47
1,20
2,111
1,1
1,56
2,41
3,77
1,13
2,34
3,71
4,45
5,80
6,49
7,78
8,2
1,67
2,64
3,13
1,69
1,77
1,77
2,4
3,79
4,78
5,78
6,19
7,68
8,31
9,30
10,79
1,63
2,66
1,73
1,58
1,13
2,79
3,19
4,77
5,79
6,69
7,21
8,77
1,61
2,68
3,69
4,67
5,66
6,55
7,66
1,39
1,36
1,31
2,78
3,27
1,59
1,17
2,2
1,77
1,74
2,75
3,75
4,76
5,75
6,25
7,67
8,80
9,8
1,56
1,9
2,133
3,75
1,29
2,67
1,76
2,26
3,20
4,11
5,77
6,21
7,78
1,78
2,39
3,44
4,52
5,76
6,17
7,74
8,74
9,77
10,73
11,49
12,61
13,58
14,35
15,83
16,48
17,5
1,42
2,66
3,59
4,65
1,75
2,33
3,77
1,48
2,63
3,23
4,76
5,76
1,73
2,81
3,51
4,4
5,78
6,64
7,5
8,84
9,80
10,78
1,64
2,66
3,66
4,18
5,32
1,80
2,90
3,74
1,74
1,73
2,82
3,77
4,41
5,77
6,82
7,67
8,10
9,43
10,19
11,76
12,168
13,15
14,78
15,14
1,9
2,46
3,67
4,66
5,67
6,65
7,66
1,40
2,42
3,57
4,13
5,65
6,50
7,33
8,55
9,7
1,8
2,12
1,75
2,40
3,15
4,77
1,92
2,45
1,33
2,70
3,71
1,28
2,25
1,72
2,78
3,66
4,76
5,76
1,16
2,8
3,69
4,69
5,64
1,20
1,75
2,3
3,37
4,20
5,25
1,53
2,117
3,19
4,67
5,3
1,56
1,2
2,66
3,40
1,74
1,66
2,96
3,12
4,59
5,84
6,79
1,47
1,68
2,5
3,78
1,8
2,77
3,78
4,3
5,28
6,79
7,77
8,74
9,72
10,57
11,3
12,81
13,81
14,1
1,6
2,16
3,32
4,66
5,29
6,65
7,3
1,62
2,13
3,25
4,92
5,81
6,20
1,2
2,4
3,78
4,14
1,50
2,76
1,28
2,77
3,11
4,75
1,82
1,15
2,23
3,80
4,76
1,30
1,48
2,76
1,73
2,43
3,90
4,1
5,75
6,80
7,57
1,63
1,6
2,15
1,48
2,75
3,29
4,75
1,76
2,77
3,50
4,80
5,82
6,78
7,80
8,82
9,74
10,9
11,6
12,77
13,46
14,36
15,32
16,77
1,21
2,65
3,70
4,68
5,67
6,13
1,35
1,68
2,31
3,79
1,30
2,15
3,80
4,80
5,78
6,4
7,49
8,26
9,41
10,62
11,33
12,76
13,76
14,84
15,82
16,74
17,6
18,13
19,76
20,77
21,78
22,77
23,59
24,81
25,76
26,82
27,79
28,75
29,24
30,74
31,74
32,75
33,7
34,20
35,81
36,75
37,75
38,79
39,77
40,49
41,76
42,44
43,27
44,75
45,83
1,69
2,48
3,12
4,64
5,67
6,63
7,63
8,65
9,69
10,47
11,40
12,58
13,69
14,68
15,67
16,4
17,66
18,64
19,6
20,34
1,44
2,3
3,111
4,48
5,81
1,39
2,78
3,22
1,16
2,76
3,77
4,77
5,48
6,75
7,75
8,17
9,75
10,29
11,53
12,32
13,8
1,66
2,6
3,66
4,33
5,63
6,60
1,74
1,12
2,78
1,15
2,78
3,81
4,79
5,77
1,54
2,74
3,71
1,55
2,57
3,1
1,128
2,110
3,78
1,4
2,34
1,23
2,79
1,6
2,79
3,76
4,77
5,62
6,40
7,78
1,72
2,69
3,3
1,51
1,23
2,40
3,78
4,6
5,11
6,58
1,4
2,22
3,68
4,65
5,38
1,63
1,10
2,9
3,75
4,59
1,81
2,75
3,75
4,77
5,74
6,76
7,2
8,74
9,80
10,81
11,80
12,81
13,77
14,78
15,77
16,79
17,77
18,78
1,63
2,64
3,71
4,65
5,3
6,69
7,64
1,64
2,76
1,78
2,78
3,6
4,34
5,112
6,11
7,51
8,75
1,76
2,10
1,42
2,75
1,25
2,81
3,82
4,80
5,76
1,31
1,8
2,77
3,5
4,81
5,74
6,75
7,78
8,79
9,77
1,63
2,81
3,65
4,75
5,79
6,40
7,21
8,78
9,78
10,1
11,55
12,60
13,20
14,64
15,76
1,61
2,65
3,68
4,41
