Name,Number
"['xingqiu', 'yelan', 'shinobu', 'nahida', 'xiangling', 'bennett', 'kazuha', 'shougun']",125
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'xiangling', 'bennett', 'shougun', 'yelan']",85
"['xingqiu', 'kokomi', 'shinobu', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",59
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'xiangling', 'xingqiu', 'bennett', 'shougun']",58
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'shougun', 'yelan']",56
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'bennett', 'kazuha', 'shougun', 'sara']",53
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",50
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'xiangling', 'bennett', 'kazuha', 'shougun']",50
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'xingqiu', 'zhongli', 'hutao', 'yelan']",48
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",33
"['kokomi', 'yelan', 'shinobu', 'nahida', 'xiangling', 'xingqiu', 'bennett', 'shougun']",31
"['xingqiu', 'yelan', 'shinobu', 'nahida', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",30
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'kazuha', 'shougun']",30
"['zhongli', 'mona', 'hutao', 'yelan', 'xiangling', 'xingqiu', 'bennett', 'shougun']",29
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'kazuha', 'yelan']",27
"['xingqiu', 'kokomi', 'shinobu', 'nahida', 'xiangling', 'bennett', 'kazuha', 'shougun']",25
"['xingqiu', 'kazuha', 'shinobu', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",22
"['zhongli', 'mona', 'kazuha', 'yelan', 'xiangling', 'xingqiu', 'bennett', 'shougun']",21
"['traveler_girl', 'kokomi', 'nilou', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",20
"['traveler_girl', 'kokomi', 'nilou', 'nahida', 'xingqiu', 'zhongli', 'hutao', 'yelan']",19
"['zhongli', 'yelan', 'shinobu', 'nahida', 'xiangling', 'xingqiu', 'bennett', 'shougun']",18
"['xingqiu', 'yelan', 'shinobu', 'nahida', 'bennett', 'kazuha', 'shougun', 'sara']",17
"['xingqiu', 'zhongli', 'shinobu', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",15
"['yelan', 'nilou', 'nahida', 'baizhu', 'xiangling', 'xingqiu', 'bennett', 'shougun']",15
"['xiangling', 'bennett', 'tartaglia', 'kazuha', 'xingqiu', 'zhongli', 'hutao', 'yelan']",13
"['barbara', 'xingqiu', 'shinobu', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",13
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'beidou', 'xingqiu', 'shinobu', 'nahida']",12
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'bennett', 'kazuha', 'shougun', 'nahida']",12
"['traveler_girl', 'kokomi', 'nilou', 'nahida', 'xiangling', 'xingqiu', 'bennett', 'shougun']",12
"['shougun', 'kokomi', 'yelan', 'nahida', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",11
