Name,Number
"['xingqiu', 'yelan', 'shinobu', 'nahida', 'xiangling', 'bennett', 'kazuha', 'shougun']",125
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'xiangling', 'bennett', 'shougun', 'yelan']",85
"['xingqiu', 'kokomi', 'shinobu', 'nahida', 'xiangling', 'bennett', 'shougun', 'yelan']",59
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'xiangling', 'xingqiu', 'bennett', 'shougun']",58
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'shougun', 'yelan']",56
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'bennett', 'kazuha', 'shougun', 'sara']",53
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",50
"['xingqiu', 'zhongli', 'hutao', 'yelan', 'xiangling', 'bennett', 'kazuha', 'shougun']",50
"['ayaka', 'kazuha', 'kokomi', 'shenhe', 'xingqiu', 'zhongli', 'hutao', 'yelan']",48
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'tartaglia', 'kazuha']",33
